,d,d_d,theta,d_theta,Goal
0,0.016345849260687828,0.23567955195903775,-0.04453713074326515,-0.27673584222793574,-1.0
1,0.021059440448880196,0.4314558804035186,-0.050071850419044495,-0.5842475891113281,-1.0
2,0.029688557609915733,0.627288818359375,-0.06175680086016655,-0.8933862447738646,-1.0
3,0.04223433509469032,0.4331134557723999,-0.07962451875209808,-0.6219916343688965,-1.0
4,0.05089660361409187,0.23924854397773743,-0.09206435084342957,-0.3566865622997284,-1.0
5,0.05568157508969306,0.04561004042625427,-0.09919808804988861,-0.09568581730127335,-1.0
6,0.05659377574920654,-0.1478973627090454,-0.10111179947853088,0.1628267765045166,-1.0
7,0.05363582819700241,-0.34137412905693054,-0.09785526990890504,0.4206764698028565,-1.0
8,0.046808343380689614,-0.14497043192386627,-0.08944173902273178,0.09777100384235382,-1.0
9,0.04390893504023552,0.05135497450828552,-0.08748631924390794,-0.2227967083454132,-1.0
10,0.04493603482842445,0.2476544380187988,-0.09194225072860716,-0.5428062081336975,-1.0
11,0.04988912492990494,0.05399830639362335,-0.10279837250709532,-0.2817400395870209,-1.0
12,0.05096909031271935,-0.13945534825325012,-0.10843317955732344,-0.02446955628693104,-1.0
13,0.0481799840927124,-0.33280473947525024,-0.1089225709438324,0.23082032799720764,-1.0
14,0.04152388870716095,-0.5261515378952025,-0.104306161403656,0.4859474301338196,-1.0
15,0.031000858172774315,-0.7195961475372313,-0.0945872142910957,0.7427167892456055,-1.0
16,0.016608934849500656,-0.5232643485069275,-0.07973287999629974,0.42077857255935674,-1.0
17,0.006143649108707905,-0.3270649313926697,-0.07131730765104294,0.10299029946327208,-1.0
18,-0.0003976495936512947,-0.13095200061798096,-0.06925749778747559,-0.2123984098434448,-1.0
19,-0.0030166895594447847,-0.3249583840370178,-0.07350546866655348,0.0563923567533493,-1.0
20,-0.009515857324004173,-0.5188925862312317,-0.07237762212753296,0.3237369954586029,-1.0
21,-0.01989370957016945,-0.7128527164459229,-0.06590288132429123,0.5914762020111084,-1.0
22,-0.03415076434612274,-0.5168283581733704,-0.054073359817266464,0.2776925563812256,-1.0
23,-0.04448733106255531,-0.32093128561973566,-0.04851951077580452,-0.03265123814344406,-1.0
24,-0.05090595781803131,-0.1251002997159958,-0.0491725355386734,-0.341355413198471,-1.0
25,-0.05340796336531639,-0.3194309771060944,-0.055999644100666046,-0.06581795960664749,-1.0
26,-0.05979658290743828,-0.513647735118866,-0.057316001504659646,0.20743288099765775,-1.0
27,-0.07006953656673431,-0.7078458070755005,-0.05316734313964844,0.4802462756633759,-1.0
28,-0.08422645181417465,-0.9021201133728028,-0.04356241971254349,0.754462718963623,-1.0
29,-0.10226885229349136,-0.7063789963722229,-0.02847316488623619,0.4472762942314148,-1.0
30,-0.1163964346051216,-0.51081645488739,-0.01952763833105564,0.14461416006088257,-1.0
31,-0.12661276757717133,-0.3153690695762634,-0.016635356470942497,-0.15531909465789795,-1.0
32,-0.13292014598846436,-0.5101933479309082,-0.019741738215088844,0.13086523115634918,-1.0
33,-0.1431240141391754,-0.7049711346626282,-0.01712443307042122,0.41604679822921753,-1.0
34,-0.1572234332561493,-0.8997911810874939,-0.008803497999906542,0.7020780444145203,-1.0
35,-0.17521925270557404,-0.7044975757598877,0.005238063633441925,0.40547147393226624,-1.0
36,-0.1893092095851898,-0.5093968510627747,0.013347492553293703,0.11325960606336592,-1.0
37,-0.19949714839458463,-0.31441378593444824,0.01561268512159586,-0.17637842893600464,-1.0
38,-0.2057854235172272,-0.11946365982294083,0.01208511646836996,-0.4652940332889557,-1.0
39,-0.20817469060420987,-0.31470245122909546,0.0027792355976998806,-0.16999410092830655,-1.0
40,-0.2144687473773956,-0.5098105669021606,-0.0006206461694091558,0.1223839595913887,-1.0
41,-0.22466495633125305,-0.7048696875572205,0.0018270327709615233,0.41368633508682245,-1.0
42,-0.23876234889030457,-0.8999643921852112,0.01010075956583023,0.7057639360427856,-1.0
43,-0.2567616403102875,-0.7049310803413391,0.02421603724360466,0.415088415145874,-1.0
44,-0.2708602547645569,-0.5101051926612854,0.03251780569553375,0.1289287954568863,-1.0
45,-0.28106236457824707,-0.3154069781303406,0.03509638085961342,-0.15453964471817017,-1.0
46,-0.287370502948761,-0.12074761092662813,0.032005589455366135,-0.4371694326400757,-1.0
47,-0.2897854447364807,-0.3162579536437988,0.023262200877070423,-0.13571354746818542,-1.0
48,-0.2961106300354004,-0.5116539597511292,0.020547930151224136,0.16306227445602417,-1.0
49,-0.30634370446205134,-0.7070123553276062,0.023809175938367844,0.4609982967376709,-1.0
50,-0.3204839527606964,-0.5121796727180481,0.03302914276719093,0.17470651865005493,-1.0
51,-0.3307275474071502,-0.31748875975608826,0.03652327135205269,-0.1085963174700737,-1.0
52,-0.33707731962203974,-0.12285149097442626,0.03435134515166283,-0.39076036214828486,-1.0
53,-0.33953434228897095,-0.31839415431022644,0.026536138728260997,-0.08858692646026611,-1.0
54,-0.34590223431587214,-0.5138352513313292,0.02476439997553825,0.211198553442955,-1.0
55,-0.3561789393424988,-0.709251344203949,0.028988370671868324,0.5104371309280396,-1.0
56,-0.37036395072937006,-0.5144938826560974,0.03919711336493492,0.2258148044347763,-1.0
57,-0.38065382838249207,-0.31989607214927673,0.04371340945363045,-0.0554778054356575,-1.0
58,-0.3870517611503601,-0.1253693401813507,0.04260385408997536,-0.3352873623371124,-1.0
59,-0.38955914974212646,0.06917866319417953,0.035898108035326004,-0.6154674887657166,-1.0
60,-0.38817557692527765,-0.12637741863727567,0.02358875796198845,-0.31283360719680786,-1.0
61,-0.3907031118869781,-0.3217763602733612,0.017332086339592934,-0.013959252275526524,-1.0
62,-0.39713865518569946,-0.5170904994010925,0.017052900046110153,0.2829793691635132,-1.0
63,-0.4074804484844208,-0.32216086983680725,0.02271248772740364,-0.00547682773321867,-1.0
64,-0.41392368078231806,-0.12731599807739255,0.022602951154112812,-0.2921154797077179,-1.0
65,-0.4164699912071228,0.06753206253051758,0.016760641708970066,-0.5787917375564575,-1.0
66,-0.4151193499565125,-0.1277698576450348,0.005184806417673825,-0.28203722834587097,-1.0
67,-0.4176747500896454,-0.3229123055934906,-0.00045593851245939726,0.01109941117465496,-1.0
68,-0.42413300275802607,-0.517973780632019,-0.0002339503262192011,0.30245390534400934,-1.0
69,-0.4344924688339233,-0.3227953314781189,0.005815127864480019,0.008518715389072895,-1.0
70,-0.44094836711883534,-0.12770311534404755,0.005985502153635025,-0.28351038694381714,-1.0
71,-0.4435024261474609,0.06738680601119995,0.0003152943681925535,-0.57548588514328,-1.0
72,-0.4421547055244446,-0.12768690288066864,-0.011194422841072083,-0.2838853895664215,-1.0
73,-0.44470843672752386,-0.32259261608123774,-0.016872132197022438,0.00404848763719201,-1.0
74,-0.4511602818965912,-0.5174129009246825,-0.01679116114974022,0.2901557683944702,-1.0
75,-0.4615085422992706,-0.7122361063957214,-0.010988046415150164,0.5762916803359985,-1.0
76,-0.47575327754020685,-0.5169107913970947,0.000537788262590766,0.2790040969848633,-1.0
77,-0.4860914945602417,-0.3217431902885437,0.006117870099842548,-0.014688700437545776,-1.0
78,-0.4925263524055481,-0.12665535509586334,0.005824095569550991,-0.30662205815315247,-1.0
79,-0.49505946040153503,0.06843690574169159,-0.0003083453048020601,-0.5986486077308655,-1.0
80,-0.49369072914123535,-0.1266281008720398,-0.012281317263841627,-0.3072452247142792,-1.0
81,-0.49622327089309687,-0.32151806354522705,-0.018426222726702687,-0.01965939626097679,-1.0
82,-0.5026536583900452,-0.5163151621818542,-0.018819410353899,0.26594656705856323,-1.0
83,-0.5129799246788025,-0.7111079096794128,-0.013500478118658064,0.5514279007911682,-1.0
84,-0.5272021293640137,-0.5157480239868164,-0.0024719198700040575,0.2533617317676544,-1.0
85,-0.5375170707702637,-0.3205378651618957,0.002595315221697092,-0.04127565398812295,-1.0
86,-0.5439278483390808,-0.12539945542812347,0.0017698020674288273,-0.3343211412429809,-1.0
87,-0.5464358329772949,-0.320493221282959,-0.0049166204407811165,-0.042261779308319085,-1.0
88,-0.5528456568717957,-0.515489935874939,-0.005761856213212012,0.24767574667930603,-1.0
89,-0.563155472278595,-0.7104747891426086,-0.0008083411958068609,0.5373448729515076,-1.0
90,-0.577364981174469,-0.5152891278266907,0.009938555769622322,0.24323067069053647,-1.0
91,-0.5876707434654236,-0.32025620341300964,0.014803169295191765,-0.04749227315187454,-1.0
92,-0.5940758585929872,-0.1252945363521576,0.01385332364588976,-0.3366658687591553,-1.0
93,-0.596581757068634,-0.3205588757991791,0.007120006717741489,-0.04081258922815322,-1.0
94,-0.6029929518699646,-0.5157290697097777,0.006303754635155201,0.25293323397636414,-1.0
95,-0.613307535648346,-0.7108874320983887,0.011362419463694096,0.5464221239089966,-1.0
96,-0.627525269985199,-0.5158733129501343,0.02229086123406887,0.25614890456199646,-1.0
97,-0.6378427147865297,-0.321021020412445,0.027413839474320408,-0.03062719851732254,-1.0
98,-0.6442631483078003,-0.1262463480234146,0.026801295578479767,-0.3157494366168976,-1.0
99,-0.6467880606651306,-0.3216889798641205,0.020486306399106976,-0.01588545553386211,-1.0
100,-0.6532218456268312,-0.12681108713150024,0.020168596878647804,-0.3032396733760834,-2.0
101,-0.6557580828666687,0.06807300448417664,0.014103803783655167,-0.5906981229782104,-2.0
