,d,d_d,theta,d_theta,Goal
141,0.041729528456926346,0.01729188673198223,0.024346834048628807,0.38353291153907776,1.0
142,0.04207536578178406,0.21240462362766263,0.03201749175786972,0.09105453640222547,1.0
143,0.04632345959544182,0.40740635991096497,0.03383858501911163,-0.1989921182394028,1.0
144,0.054471585899591446,0.6023818254470825,0.02985874190926552,-0.4884590804576874,1.0
145,0.06651922315359116,0.4071734845638275,0.020089559257030487,-0.19384101033210757,1.0
146,0.07466269284486769,0.21210335195064545,0.016212739050388336,0.09770132601261139,1.0
147,0.07890475541353226,0.017089474946260452,0.018166765570640564,0.3880131840705872,1.0
148,0.07924655079841612,0.21228951215744016,0.025927029550075528,0.09359136223793027,1.0
149,0.08349233865737915,0.4073794484138489,0.0277988575398922,-0.1983875781297684,1.0
150,0.09163992851972581,0.6024425029754639,0.02383110672235489,-0.4897741675376892,1.0
151,0.1036887764930725,0.4073186814785004,0.014035622589290142,-0.19704937934875488,1.0
152,0.11183515191078186,0.21233625710010529,0.01009463518857956,0.09256979823112488,1.0
153,0.11608187854290009,0.017411909997463226,0.011946030892431736,0.3809299170970917,1.0
154,0.1164301112294197,0.212698757648468,0.019564628601074215,0.08456478267908096,1.0
155,0.12068408727645874,0.40787971019744873,0.02125592529773712,-0.209419459104538,1.0
156,0.12884168326854703,0.6030365228652954,0.01706753484904766,-0.5028718113899231,1.0
157,0.14090241491794586,0.4080086350440979,0.007010098546743393,-0.21228590607643127,1.0
158,0.14906258881092072,0.21312920749187467,0.002764381468296051,0.07508642226457597,1.0
159,0.1533251702785492,0.01831352710723877,0.004266109317541122,0.3610917925834656,1.0
160,0.15369144082069397,-0.1765269041061401,0.01148794498294592,0.6475845575332642,1.0
161,0.15016090869903564,0.018763026222586632,0.024439634755253792,0.3510817289352417,1.0
162,0.1505361646413803,0.2138744294643402,0.031461268663406365,0.05863265320658684,1.0
163,0.15481364727020264,0.4088842272758484,0.03263392299413681,-0.23159094154834747,1.0
164,0.16299133002758026,0.6038773655891417,0.02800210379064083,-0.5214419364929199,1.0
165,0.17506888508796692,0.4086950719356537,0.017573265358805656,-0.22740593552589417,1.0
166,0.18324278295040128,0.21366120874881744,0.013025146909058094,0.06333865225315094,1.0
167,0.18751600384712216,0.018693890422582623,0.014291919767856596,0.35263511538505554,1.0
168,0.18788988888263705,0.21394832432270047,0.02134462259709835,0.057000957429409034,1.0
169,0.19216884672641757,0.40910395979881287,0.022484641522169117,-0.23642364144325256,1.0
170,0.20035092532634732,0.6042432188987732,0.01775616779923439,-0.5294891595840454,1.0
171,0.21243579685688016,0.40920537710189814,0.007166385650634766,-0.23868452012538907,1.0
172,0.2206199020147324,0.2143234461545944,0.002392694354057312,0.0487382486462593,1.0
173,0.22490637004375455,0.01951337046921253,0.003367459401488304,0.33462366461753845,1.0
174,0.22529664635658264,-0.17531341314315796,0.010059932246804236,0.6208266019821167,1.0
175,0.22179037332534793,0.019996320828795437,0.02247646450996399,0.3238796591758728,1.0
176,0.2221903055906296,0.21513564884662628,0.02895405702292919,0.03081165626645088,1.0
177,0.2264930158853531,0.41018185019493103,0.029570290818810463,-0.260208398103714,1.0
178,0.2346966415643692,0.6052194833755493,0.024366121739149094,-0.5510334968566896,1.0
179,0.246801033616066,0.41008815169334406,0.013345452956855295,-0.2581402063369751,1.0
180,0.25500279664993286,0.21511551737785337,0.008182648569345474,0.03125936910510063,1.0
181,0.25930511951446533,0.0202194657176733,0.008807836100459097,0.3190068304538727,1.0
182,0.259709507226944,-0.17468728125095367,0.015187972225248812,0.6069568991661072,1.0
183,0.25621575117111206,0.02055262215435505,0.02732711099088192,0.31160563230514526,1.0
184,0.25662681460380554,0.2156226933002472,0.033559225499629974,0.02006932906806469,1.0
185,0.26093927025794983,0.4106018543243408,0.033960610628128045,-0.26948612928390503,1.0
186,0.2691513001918793,0.6055758595466614,0.028570886701345444,-0.5589146614074707,1.0
187,0.2812628149986267,0.4103858470916748,0.0173925943672657,-0.26470062136650085,1.0
188,0.28947052359580994,0.21535445749759677,0.012098581530153751,0.025986764580011368,1.0
189,0.29377761483192444,0.02040076814591885,0.01261831633746624,0.3149873912334442,1.0
190,0.2941856384277344,-0.17456161975860596,0.01891806349158287,0.6041555404663086,1.0
191,0.2906944155693054,0.020626863464713097,0.031001174822449684,0.30997079610824585,1.0
192,0.2911069393157959,0.2156440019607544,0.03720059245824814,0.019599897786974903,1.0
193,0.2954198122024536,0.4105697572231293,0.037592589855194085,-0.2687925100326538,1.0
194,0.30363121628761286,0.6054906845092772,0.032216738909482956,-0.5570608973503113,1.0
195,0.31574103236198425,0.410250186920166,0.021075520664453503,-0.2617064118385315,1.0
196,0.3239460289478302,0.21516577899456024,0.015841392800211906,0.03014810010790825,1.0
197,0.32824933528900146,0.020157372578978535,0.016444355249404907,0.3203417658805847,1.0
198,0.3286525011062622,-0.17486052215099335,0.022851189598441124,0.6107282638549805,1.0
199,0.32515528798103327,0.020273255184292797,0.03506575524806976,0.31777864694595337,1.0
200,0.3255607485771179,0.21523147821426392,0.041421327739954,0.028702162206172943,-2.0
201,0.32986536622047424,0.41009482741355896,0.041995368897914886,-0.2583366930484772,-2.0
202,0.33806726336479187,0.6049508452415465,0.03682863712310791,-0.5451927781105042,-2.0
203,0.35016629099845886,0.799885869026184,0.02592478133738041,-0.8337098956108093,-2.0
204,0.3661639988422394,0.9949773550033568,0.009250584058463572,-1.1256917715072632,-2.0
205,0.38606354594230646,1.190285563468933,-0.013263251632452013,-1.4228711128234863,-2.0
206,0.4098692834377289,0.9956397414207457,-0.041720673441886895,-1.1419658660888672,-2.0
207,0.42978206276893616,0.8014308810234071,-0.06455998867750168,-0.8704952001571654,-2.0
208,0.4458106756210327,0.6076131463050841,-0.08196989446878433,-0.606814444065094,-2.0
209,0.45796296000480646,0.4141149520874024,-0.09410618245601654,-0.3491947948932648,-2.0
210,0.46624523401260376,0.22084827721118927,-0.10109008103609084,-0.09585852175951005,-2.0
211,0.4706622064113617,0.027715256437659264,-0.10300724953413008,0.15499566495418549,-2.0
212,0.4712165296077728,0.22440218925476077,-0.09990733861923216,-0.17482149600982666,-2.0
213,0.475704550743103,0.4210564196109772,-0.10340376943349838,-0.5037999153137207,-2.0
214,0.4841256737709045,0.2279333919286728,-0.11347977072000504,-0.25371959805488586,-2.0
