# Position , Speed, Angle, Angular speed, attack
2.807165123522281647e-02,-1.633803099393844604e-01,-8.088649250566959381e-03,3.105928599834442139e-01,0.000000000000000000e+00
2.480404451489448547e-02,-3.583316802978515625e-01,-1.876791706308722496e-03,5.995203852653503418e-01,0.000000000000000000e+00
1.763741113245487213e-02,-5.533745288848876953e-01,1.011361647397279739e-02,8.904272317886352539e-01,0.000000000000000000e+00
6.569921039044857025e-03,-3.583395481109619141e-01,2.792216092348098755e-02,5.997530221939086914e-01,0.000000000000000000e+00
-5.968699697405099869e-04,-1.635640412569046021e-01,3.991721943020820618e-02,3.147825002670288086e-01,0.000000000000000000e+00
-3.868150990456342697e-03,3.102447278797626495e-02,4.621287062764167786e-02,3.372292593121528625e-02,0.000000000000000000e+00
-3.247661516070365906e-03,2.255125045776367188e-01,4.688733071088790894e-02,-2.452643215656280518e-01,0.000000000000000000e+00
1.262588659301400185e-03,2.980176545679569244e-02,4.198204353451728821e-02,6.070849671959877014e-02,0.000000000000000000e+00
1.858623931184411049e-03,-1.658469736576080322e-01,4.319621250033378601e-02,3.652060031890869141e-01,0.000000000000000000e+00
-1.458315411582589149e-03,-3.615067005157470703e-01,5.050033330917358398e-02,6.700628399848937988e-01,0.000000000000000000e+00
-8.688449859619140625e-03,-1.670649349689483643e-01,6.390158832073211670e-02,3.924599587917327881e-01,0.000000000000000000e+00
-1.202974840998649597e-02,2.715403772890567780e-02,7.175078988075256348e-02,1.193338036537170410e-01,0.000000000000000000e+00
-1.148666720837354660e-02,2.212390601634979248e-01,7.413747161626815796e-02,-1.511425375938415527e-01,0.000000000000000000e+00
-7.061886601150035858e-03,4.152861535549163818e-01,7.111461460590362549e-02,-4.208140671253204346e-01,0.000000000000000000e+00
1.243836479261517525e-03,2.192775607109069824e-01,6.269833445549011230e-02,-1.076764911413192749e-01,0.000000000000000000e+00
5.629387684166431427e-03,2.336252108216285706e-02,6.054480373859405518e-02,2.030077427625656128e-01,0.000000000000000000e+00
6.096638273447751999e-03,-1.725237965583801270e-01,6.460496038198471069e-02,5.130534768104553223e-01,0.000000000000000000e+00
2.646162174642086029e-03,2.169054001569747925e-02,7.486603409051895142e-02,2.401530891656875610e-01,0.000000000000000000e+00
3.079972928389906883e-03,2.157282531261444092e-01,7.966909557580947876e-02,-2.927575819194316864e-02,0.000000000000000000e+00
7.394537795335054398e-03,4.096839427947998047e-01,7.908357679843902588e-02,-2.970709502696990967e-01,0.000000000000000000e+00
1.558821648359298706e-02,6.036555767059326172e-01,7.314215600490570068e-02,-5.650745034217834473e-01,0.000000000000000000e+00
2.766132913529872894e-02,4.076321423053741455e-01,6.184066459536552429e-02,-2.513607442378997803e-01,0.000000000000000000e+00
3.581397235393524170e-02,2.117307782173156738e-01,5.681344866752624512e-02,5.906600877642631531e-02,0.000000000000000000e+00
4.004858806729316711e-02,1.588968373835086823e-02,5.799477174878120422e-02,3.680088818073272705e-01,0.000000000000000000e+00
4.036638140678405762e-02,2.102005034685134888e-01,6.535495072603225708e-02,9.291300922632217407e-02,0.000000000000000000e+00
4.457039013504981995e-02,4.043877720832824707e-01,6.721321493387222290e-02,-1.797134131193161011e-01,0.000000000000000000e+00
5.265814438462257385e-02,5.985468029975891113e-01,6.361894309520721436e-02,-4.517184495925903320e-01,0.000000000000000000e+00
6.462907791137695312e-02,7.927731275558471680e-01,5.458457022905349731e-02,-7.249435782432556152e-01,0.000000000000000000e+00
8.048454672098159790e-02,5.969863533973693848e-01,4.008569940924644470e-02,-4.167025089263916016e-01,0.000000000000000000e+00
9.242427349090576172e-02,4.013687670230865479e-01,3.175165131688117981e-02,-1.127880290150642395e-01,0.000000000000000000e+00
1.004516482353210449e-01,2.058569192886352539e-01,2.949588932096958160e-02,1.885975450277328491e-01,0.000000000000000000e+00
1.045687869191169739e-01,4.006011784076690674e-01,3.326784074306488037e-02,-9.585210680961608887e-02,0.000000000000000000e+00
1.125808060169219971e-01,5.952878594398498535e-01,3.135079890489578247e-02,-3.790764212608337402e-01,0.000000000000000000e+00
1.244865655899047852e-01,7.900071144104003906e-01,2.376926876604557037e-02,-6.629289984703063965e-01,0.000000000000000000e+00
1.402867138385772705e-01,5.946123600006103516e-01,1.051069051027297974e-02,-3.640089333057403564e-01,0.000000000000000000e+00
1.521789580583572388e-01,3.993948996067047119e-01,3.230511676520109177e-03,-6.920040398836135864e-02,0.000000000000000000e+00
1.601668596267700195e-01,2.042803466320037842e-01,1.846503582783043385e-03,2.233201116323471069e-01,0.000000000000000000e+00
1.642524600028991699e-01,9.185581468045711517e-03,6.312905810773372650e-03,5.154035091400146484e-01,0.000000000000000000e+00
1.644361764192581177e-01,2.042712718248367310e-01,1.662097685039043427e-02,2.235308885574340820e-01,0.000000000000000000e+00
1.685215979814529419e-01,3.992068469524383545e-01,2.109159342944622040e-02,-6.506285071372985840e-02,0.000000000000000000e+00
1.765057295560836792e-01,5.940758585929870605e-01,1.979033648967742920e-02,-3.522227704524993896e-01,0.000000000000000000e+00
1.883872449398040771e-01,7.889660000801086426e-01,1.274588145315647125e-02,-6.398032903671264648e-01,0.000000000000000000e+00
2.041665762662887573e-01,5.937197208404541016e-01,-5.018385127186775208e-05,-3.442995548248291016e-01,0.000000000000000000e+00
2.160409688949584961e-01,3.986519873142242432e-01,-6.936174817383289337e-03,-5.281584337353706360e-02,0.000000000000000000e+00
2.240139991044998169e-01,2.036848068237304688e-01,-7.992492057383060455e-03,2.364780008792877197e-01,0.000000000000000000e+00
2.280877083539962769e-01,8.732495829463005066e-03,-3.262931713834404945e-03,5.254355072975158691e-01,0.000000000000000000e+00
2.282623499631881714e-01,2.039523571729660034e-01,7.245779037475585938e-03,2.305525839328765869e-01,0.000000000000000000e+00
2.323413938283920288e-01,3.990241289138793945e-01,1.185683067888021469e-02,-6.102406978607177734e-02,0.000000000000000000e+00
2.403218746185302734e-01,5.940288305282592773e-01,1.063634920865297318e-02,-3.511367142200469971e-01,0.000000000000000000e+00
2.522024512290954590e-01,7.890521287918090820e-01,3.613615175709128380e-03,-6.416386961936950684e-01,0.000000000000000000e+00
2.679834961891174316e-01,5.939319729804992676e-01,-9.219158440828323364e-03,-3.489971458911895752e-01,0.000000000000000000e+00
2.798621356487274170e-01,3.989968001842498779e-01,-1.619910076260566711e-02,-6.043034046888351440e-02,0.000000000000000000e+00
2.878420650959014893e-01,2.041663974523544312e-01,-1.740770787000656128e-02,2.258939146995544434e-01,0.000000000000000000e+00
2.919254004955291748e-01,9.353043511509895325e-03,-1.288983039557933807e-02,5.118300914764404297e-01,0.000000000000000000e+00
2.921124696731567383e-01,2.047053128480911255e-01,-2.653227420523762703e-03,2.139517962932586670e-01,0.000000000000000000e+00
2.962065637111663818e-01,3.999181389808654785e-01,1.625808421522378922e-03,-8.074257522821426392e-02,0.000000000000000000e+00
3.042049407958984375e-01,5.950704216957092285e-01,1.095701009035110474e-05,-3.740933835506439209e-01,0.000000000000000000e+00
3.161063492298126221e-01,4.000017046928405762e-01,-7.470911368727684021e-03,-8.259021490812301636e-02,0.000000000000000000e+00
3.241063654422760010e-01,2.050423175096511841e-01,-9.122715331614017487e-03,2.065330296754837036e-01,0.000000000000000000e+00
3.282072246074676514e-01,1.010672003030776978e-02,-4.992054775357246399e-03,4.951291680335998535e-01,0.000000000000000000e+00
3.284093439579010010e-01,2.053507864475250244e-01,4.910528659820556641e-03,1.997055560350418091e-01,0.000000000000000000e+00
3.325163722038269043e-01,4.004560410976409912e-01,8.904639631509780884e-03,-9.260950982570648193e-02,0.000000000000000000e+00
3.405255079269409180e-01,5.955036878585815430e-01,7.052449975162744522e-03,-3.836601674556732178e-01,0.000000000000000000e+00
3.524355590343475342e-01,4.003349244594573975e-01,-6.207532715052366257e-04,-8.993627876043319702e-02,0.000000000000000000e+00
3.604422807693481445e-01,2.052758187055587769e-01,-2.419478958472609520e-03,2.013660222291946411e-01,0.000000000000000000e+00
3.645477890968322754e-01,1.024257484823465347e-02,1.607841579243540764e-03,4.920979440212249756e-01,0.000000000000000000e+00
3.647526204586029053e-01,2.053946107625961304e-01,1.144980080425739288e-02,1.987421959638595581e-01,0.000000000000000000e+00
3.688605129718780518e-01,4.004055261611938477e-01,1.542464457452297211e-02,-9.150032699108123779e-02,0.000000000000000000e+00
3.768686354160308838e-01,5.953581333160400391e-01,1.359463762491941452e-02,-3.804756104946136475e-01,0.000000000000000000e+00
3.887757956981658936e-01,4.000976979732513428e-01,5.985125899314880371e-03,-8.470346778631210327e-02,0.000000000000000000e+00
3.967777490615844727e-01,2.049437165260314941e-01,4.291056189686059952e-03,2.086853384971618652e-01,0.000000000000000000e+00
4.008766412734985352e-01,9.813968092203140259e-03,8.464762941002845764e-03,5.015404224395751953e-01,0.000000000000000000e+00
4.010729193687438965e-01,2.048690766096115112e-01,1.849557086825370789e-02,2.103485912084579468e-01,0.000000000000000000e+00
4.051702916622161865e-01,3.997770547866821289e-01,2.270254306495189667e-02,-7.764508575201034546e-02,0.000000000000000000e+00
4.131658375263214111e-01,5.946221947669982910e-01,2.114964090287685394e-02,-3.642871081829071045e-01,0.000000000000000000e+00
4.250582754611968994e-01,7.894924879074096680e-01,1.386389881372451782e-02,-6.514316797256469727e-01,0.000000000000000000e+00
4.408481121063232422e-01,5.942310690879821777e-01,8.352659642696380615e-04,-3.555796742439270020e-01,0.000000000000000000e+00
4.527327418327331543e-01,3.991506397724151611e-01,-6.276328116655349731e-03,-6.381573528051376343e-02,0.000000000000000000e+00
4.607157707214355469e-01,2.041737884283065796e-01,-7.552643306553363800e-03,2.256885915994644165e-01,0.000000000000000000e+00
4.647992253303527832e-01,9.215114638209342957e-03,-3.038870869204401970e-03,5.147864818572998047e-01,0.000000000000000000e+00
4.649835228919982910e-01,2.044319510459899902e-01,7.256858516484498978e-03,2.199734747409820557e-01,0.000000000000000000e+00
4.690721631050109863e-01,3.995035290718078613e-01,1.165632810443639755e-02,-7.159963250160217285e-02,0.000000000000000000e+00
4.770622551441192627e-01,5.945111513137817383e-01,1.022433582693338394e-02,-3.617760837078094482e-01,0.000000000000000000e+00
4.889524579048156738e-01,7.895404100418090820e-01,2.988813910633325577e-03,-6.524089574813842773e-01,0.000000000000000000e+00
5.047432780265808105e-01,5.944290161132812500e-01,-1.005936507135629654e-02,-3.599642813205718994e-01,0.000000000000000000e+00
5.166318416595458984e-01,3.995060026645660400e-01,-1.725865155458450317e-02,-7.166598737239837646e-02,0.000000000000000000e+00
5.246219635009765625e-01,2.046913504600524902e-01,-1.869197003543376923e-02,2.143168449401855469e-01,0.000000000000000000e+00
5.287157893180847168e-01,9.897247888147830963e-03,-1.440563425421714783e-02,4.998385012149810791e-01,0.000000000000000000e+00
5.289137363433837891e-01,2.052703201770782471e-01,-4.408863373100757599e-03,2.014911472797393799e-01,0.000000000000000000e+00
5.330191850662231445e-01,4.005079269409179688e-01,-3.790406044572591782e-04,-9.375277906656265259e-02,0.000000000000000000e+00
5.410293340682983398e-01,5.956887602806091309e-01,-2.254096092656254768e-03,-3.877340257167816162e-01,0.000000000000000000e+00
5.529431104660034180e-01,4.006524682044982910e-01,-1.000877656042575836e-02,-9.694862365722656250e-02,0.000000000000000000e+00
5.609561204910278320e-01,2.057303190231323242e-01,-1.194774918258190155e-02,1.913634240627288818e-01,0.000000000000000000e+00
5.650707483291625977e-01,1.083633583039045334e-02,-8.120480924844741821e-03,4.790548980236053467e-01,0.000000000000000000e+00
5.652874708175659180e-01,2.061237692832946777e-01,1.460617175325751305e-03,1.826559454202651978e-01,0.000000000000000000e+00
5.694099664688110352e-01,4.012783467769622803e-01,5.113736260682344437e-03,-1.107467859983444214e-01,0.000000000000000000e+00
5.774354934692382812e-01,5.963806509971618652e-01,2.898800419643521309e-03,-4.029976129531860352e-01,0.000000000000000000e+00
5.893630981445312500e-01,4.012707173824310303e-01,-5.161152221262454987e-03,-1.105816289782524109e-01,0.000000000000000000e+00
5.973885655403137207e-01,2.062775045633316040e-01,-7.372784428298473358e-03,1.792781651020050049e-01,0.000000000000000000e+00
6.015141010284423828e-01,1.131640840321779251e-02,-3.787221154198050499e-03,4.684331417083740234e-01,0.000000000000000000e+00
6.017404198646545410e-01,2.065439522266387939e-01,5.581441801041364670e-03,1.733856350183486938e-01,0.000000000000000000e+00
6.058713197708129883e-01,4.016395807266235352e-01,9.049154818058013916e-03,-1.187174245715141296e-01,0.000000000000000000e+00
6.139041185379028320e-01,5.966851115226745605e-01,6.674806121736764908e-03,-4.097222685813903809e-01,0.000000000000000000e+00
6.258378028869628906e-01,7.917654514312744141e-01,-1.519639277830719948e-03,-7.014801502227783203e-01,0.000000000000000000e+00
6.416730880737304688e-01,9.869599342346191406e-01,-1.554924249649047852e-02,-9.958156943321228027e-01,0.000000000000000000e+00
6.614122986793518066e-01,1.182334542274475098e+00,-3.546555712819099426e-02,-1.294495224952697754e+00,0.000000000000000000e+00
6.850590109825134277e-01,9.877321720123291016e-01,-6.135546043515205383e-02,-1.014340996742248535e+00,0.000000000000000000e+00
7.048136591911315918e-01,7.935360670089721680e-01,-8.164227753877639771e-02,-7.427899241447448730e-01,0.000000000000000000e+00
7.206843495368957520e-01,5.996900200843811035e-01,-9.649807959794998169e-02,-4.781536161899566650e-01,0.000000000000000000e+00
7.326781749725341797e-01,4.061155915260314941e-01,-1.060611456632614136e-01,-2.186718583106994629e-01,0.000000000000000000e+00
7.408004403114318848e-01,2.127206325531005859e-01,-1.104345843195915222e-01,3.745526820421218872e-02,0.000000000000000000e+00
7.450549006462097168e-01,4.092790484428405762e-01,-1.096854805946350098e-01,-2.889584898948669434e-01,0.000000000000000000e+00
7.532404661178588867e-01,6.058203577995300293e-01,-1.154646500945091248e-01,-6.151530742645263672e-01,0.000000000000000000e+00
7.653568983078002930e-01,4.125480353832244873e-01,-1.277677118778228760e-01,-3.622667491436004639e-01,0.000000000000000000e+00
7.736078500747680664e-01,2.195165902376174927e-01,-1.350130587816238403e-01,-1.137733533978462219e-01,0.000000000000000000e+00
7.779981493949890137e-01,2.662744559347629547e-02,-1.372885257005691528e-01,1.321153193712234497e-01,0.000000000000000000e+00
7.785307168960571289e-01,-1.662221699953079224e-01,-1.346462219953536987e-01,3.771910071372985840e-01,0.000000000000000000e+00
7.752062678337097168e-01,3.056610748171806335e-02,-1.271023899316787720e-01,4.427348822355270386e-02,0.000000000000000000e+00
7.758175730705261230e-01,2.272979468107223511e-01,-1.262169182300567627e-01,-2.866611778736114502e-01,0.000000000000000000e+00
7.803635597229003906e-01,4.240106940269470215e-01,-1.319501549005508423e-01,-6.173433065414428711e-01,0.000000000000000000e+00
7.888437509536743164e-01,2.310191392898559570e-01,-1.442970186471939087e-01,-3.702891767024993896e-01,0.000000000000000000e+00
7.934641242027282715e-01,3.827655687928199768e-02,-1.517027914524078369e-01,-1.277032643556594849e-01,0.000000000000000000e+00
7.942296862602233887e-01,-1.543164551258087158e-01,-1.542568653821945190e-01,1.121850535273551941e-01,0.000000000000000000e+00
7.911433577537536621e-01,-3.468630909919738770e-01,-1.520131677389144897e-01,3.511478006839752197e-01,0.000000000000000000e+00
7.842060923576354980e-01,-5.394666790962219238e-01,-1.449902057647705078e-01,5.909478068351745605e-01,0.000000000000000000e+00
7.734167575836181641e-01,-7.322276234626770020e-01,-1.331712454557418823e-01,8.333297371864318848e-01,0.000000000000000000e+00
7.587721943855285645e-01,-5.355271697044372559e-01,-1.165046468377113342e-01,5.009124279022216797e-01,0.000000000000000000e+00
7.480616569519042969e-01,-3.389335870742797852e-01,-1.064863950014114380e-01,1.728833019733428955e-01,0.000000000000000000e+00
7.412829995155334473e-01,-1.424207687377929688e-01,-1.030287295579910278e-01,-1.524393707513809204e-01,0.000000000000000000e+00
7.384345531463623047e-01,-3.358646929264068604e-01,-1.060775220394134521e-01,1.047421470284461975e-01,0.000000000000000000e+00
7.317172884941101074e-01,-5.292554497718811035e-01,-1.039826795458793640e-01,3.608576655387878418e-01,0.000000000000000000e+00
7.211321592330932617e-01,-7.226943969726562500e-01,-9.676552563905715942e-02,6.177232861518859863e-01,0.000000000000000000e+00
7.066782712936401367e-01,-9.162793159484863281e-01,-8.441105484962463379e-02,8.771347403526306152e-01,0.000000000000000000e+00
6.883527040481567383e-01,-7.200769782066345215e-01,-6.686836481094360352e-02,5.580896735191345215e-01,0.000000000000000000e+00
6.739511489868164062e-01,-5.240384936332702637e-01,-5.570657178759574890e-02,2.440217286348342896e-01,0.000000000000000000e+00
6.634703874588012695e-01,-3.281199932098388672e-01,-5.082613974809646606e-02,-6.680532544851303101e-02,0.000000000000000000e+00
6.569079756736755371e-01,-5.224187970161437988e-01,-5.216224491596221924e-02,2.081730365753173828e-01,0.000000000000000000e+00
6.464595794677734375e-01,-7.166986465454101562e-01,-4.799878597259521484e-02,4.827092289924621582e-01,0.000000000000000000e+00
6.321256160736083984e-01,-9.110535383224487305e-01,-3.834459930658340454e-02,7.586454749107360840e-01,0.000000000000000000e+00
6.139045357704162598e-01,-7.153776288032531738e-01,-2.317169122397899628e-02,4.530208408832550049e-01,0.000000000000000000e+00
5.995970368385314941e-01,-5.198855996131896973e-01,-1.411127299070358276e-02,1.519764214754104614e-01,0.000000000000000000e+00
5.891993045806884766e-01,-3.245125710964202881e-01,-1.107174530625343323e-02,-1.462858915328979492e-01,0.000000000000000000e+00
5.827090740203857422e-01,-5.194192528724670410e-01,-1.399746350944042206e-02,1.416860073804855347e-01,0.000000000000000000e+00
5.723206400871276855e-01,-7.142826318740844727e-01,-1.116374228149652481e-02,4.287190735340118408e-01,0.000000000000000000e+00
5.580350160598754883e-01,-9.091902971267700195e-01,-2.589361043646931648e-03,7.166650295257568359e-01,0.000000000000000000e+00
5.398511886596679688e-01,-7.139812707901000977e-01,1.174393948167562485e-02,4.219950139522552490e-01,0.000000000000000000e+00
5.255715847015380859e-01,-5.189735293388366699e-01,2.018383890390396118e-02,1.318444162607192993e-01,0.000000000000000000e+00
5.151920914649963379e-01,-3.240908980369567871e-01,2.282072789967060089e-02,-1.556073129177093506e-01,0.000000000000000000e+00
5.087102651596069336e-01,-1.292471736669540405e-01,1.970858126878738403e-02,-4.422118067741394043e-01,0.000000000000000000e+00
5.061253309249877930e-01,-3.245913386344909668e-01,1.086434628814458847e-02,-1.445398479700088501e-01,0.000000000000000000e+00
4.996335208415985107e-01,-5.198144912719726562e-01,7.973548956215381622e-03,1.503805369138717651e-01,0.000000000000000000e+00
4.892372190952301025e-01,-7.149967551231384277e-01,1.098115928471088409e-02,4.443944394588470459e-01,0.000000000000000000e+00
4.749372899532318115e-01,-5.199779272079467773e-01,1.986904814839363098e-02,1.540012210607528687e-01,0.000000000000000000e+00
4.645377397537231445e-01,-3.250905275344848633e-01,2.294907160103321075e-02,-1.335516721010208130e-01,0.000000000000000000e+00
4.580359160900115967e-01,-1.302488446235656738e-01,2.027803845703601837e-02,-4.201146960258483887e-01,0.000000000000000000e+00
4.554309546947479248e-01,-3.256011009216308594e-01,1.187574490904808044e-02,-1.222658976912498474e-01,0.000000000000000000e+00
4.489189386367797852e-01,-5.208385586738586426e-01,9.430427104234695435e-03,1.729710251092910767e-01,0.000000000000000000e+00
4.385021626949310303e-01,-7.160414457321166992e-01,1.288984809070825577e-02,4.674420654773712158e-01,0.000000000000000000e+00
4.241813123226165771e-01,-5.210498571395874023e-01,2.223868854343891144e-02,1.776554435491561890e-01,0.000000000000000000e+00
4.137603342533111572e-01,-3.261973857879638672e-01,2.579179778695106506e-02,-1.091364994645118713e-01,0.000000000000000000e+00
4.072363674640655518e-01,-1.313982009887695312e-01,2.360906824469566345e-02,-3.947831094264984131e-01,0.000000000000000000e+00
4.046084284782409668e-01,-3.267962932586669922e-01,1.571340672671794891e-02,-9.590416401624679565e-02,0.000000000000000000e+00
3.980724811553955078e-01,-5.220876932144165039e-01,1.379532273858785629e-02,2.005305737257003784e-01,0.000000000000000000e+00
3.876307308673858643e-01,-7.173519730567932129e-01,1.780593395233154297e-02,4.963668584823608398e-01,0.000000000000000000e+00
3.732836842536926270e-01,-5.224310755729675293e-01,2.773327194154262543e-02,2.081481665372848511e-01,0.000000000000000000e+00
3.628350794315338135e-01,-3.276602029800415039e-01,3.189623728394508362e-02,-7.687224447727203369e-02,0.000000000000000000e+00
3.562818765640258789e-01,-1.329528838396072388e-01,3.035878948867321014e-02,-3.605421483516693115e-01,0.000000000000000000e+00
3.536228239536285400e-01,6.178085505962371826e-02,2.314794622361660004e-02,-6.447158455848693848e-01,0.000000000000000000e+00
3.548584282398223877e-01,-1.336060464382171631e-01,1.025362964719533920e-02,-3.459865748882293701e-01,0.000000000000000000e+00
3.521863222122192383e-01,-3.288199603557586670e-01,3.333898261189460754e-03,-5.125841498374938965e-02,0.000000000000000000e+00
3.456099033355712891e-01,-5.239360332489013672e-01,2.308729803189635277e-03,2.412947416305541992e-01,0.000000000000000000e+00
3.351311981678009033e-01,-7.190374135971069336e-01,7.134624756872653961e-03,5.335242152214050293e-01,0.000000000000000000e+00
3.207504451274871826e-01,-5.239633321762084961e-01,1.780510880053043365e-02,2.419112473726272583e-01,0.000000000000000000e+00
3.102711737155914307e-01,-3.290449678897857666e-01,2.264333330094814301e-02,-4.630383104085922241e-02,0.000000000000000000e+00
3.036902844905853271e-01,-1.341990530490875244e-01,2.171725779771804810e-02,-3.329648077487945557e-01,0.000000000000000000e+00
3.010062873363494873e-01,6.066255271434783936e-02,1.505796145647764206e-02,-6.199264526367187500e-01,0.000000000000000000e+00
3.022195398807525635e-01,-1.346155554056167603e-01,2.659432124346494675e-03,-3.237021565437316895e-01,0.000000000000000000e+00
2.995272278785705566e-01,-3.297220468521118164e-01,-3.814610885456204414e-03,-3.136180713772773743e-02,0.000000000000000000e+00
2.929328083992004395e-01,-5.247347354888916016e-01,-4.441847093403339386e-03,2.589263916015625000e-01,0.000000000000000000e+00
2.824380993843078613e-01,-7.197389006614685059e-01,7.366805803030729294e-04,5.490158200263977051e-01,0.000000000000000000e+00
2.680433094501495361e-01,-5.245748162269592285e-01,1.171699631959199905e-02,2.553865313529968262e-01,0.000000000000000000e+00
2.575518190860748291e-01,-3.295675814151763916e-01,1.682472787797451019e-02,-3.477130085229873657e-02,0.000000000000000000e+00
2.509604692459106445e-01,-1.346356123685836792e-01,1.612930186092853546e-02,-3.232989609241485596e-01,0.000000000000000000e+00
2.482677549123764038e-01,6.030783057212829590e-02,9.663322940468788147e-03,-6.120508313179016113e-01,0.000000000000000000e+00
2.494739145040512085e-01,-1.348963230848312378e-01,-2.577693900093436241e-03,-3.175097703933715820e-01,0.000000000000000000e+00
