d d_d theta d_theta
-9.538449347019195557e-02 -5.468982458114624023e-01 4.542049765586853027e-02 7.945746183395385742e-01
-1.063224598765373230e-01 -3.520810604095458984e-01 6.131199002265930176e-02 5.088036060333251953e-01
-1.133640781044960022e-01 -1.575086563825607300e-01 7.148806750774383545e-02 2.282072454690933228e-01
-1.165142506361007690e-01 3.689892217516899109e-02 7.605220377445220947e-02 -4.902635514736175537e-02
-1.157762706279754639e-01 2.312325984239578247e-01 7.507167756557464600e-02 -3.247424662113189697e-01
-1.111516207456588745e-01 3.541823476552963257e-02 6.857682764530181885e-02 -1.631130464375019073e-02
-1.104432567954063416e-01 -1.603176295757293701e-01 6.825060397386550903e-02 2.901867330074310303e-01
-1.136496067047119141e-01 -3.560456335544586182e-01 7.405433803796768188e-02 5.965813994407653809e-01
-1.207705214619636536e-01 -1.616631895303726196e-01 8.598597347736358643e-02 3.201757669448852539e-01
-1.240037828683853149e-01 3.251894935965538025e-02 9.238948673009872437e-02 4.776815697550773621e-02
-1.233534067869186401e-01 2.265921235084533691e-01 9.334484487771987915e-02 -2.224757522344589233e-01
-1.188215613365173340e-01 4.206530451774597168e-01 8.889532834291458130e-02 -4.924019277095794678e-01
-1.104084998369216919e-01 2.246750146150588989e-01 7.904729247093200684e-02 -1.799050569534301758e-01
-1.059150025248527527e-01 2.880650386214256287e-02 7.544919103384017944e-02 1.297120749950408936e-01
-1.053388714790344238e-01 -1.670171171426773071e-01 7.804343104362487793e-02 4.382622241973876953e-01
-1.086792126297950745e-01 2.729520760476589203e-02 8.680868148803710938e-02 1.631936430931091309e-01
-1.081333085894584656e-01 2.214595973491668701e-01 9.007254987955093384e-02 -1.089309975504875183e-01
-1.037041172385215759e-01 4.155707359313964844e-01 8.789393305778503418e-02 -3.799568414688110352e-01
-9.539270401000976562e-02 6.097251176834106445e-01 8.029479533433914185e-02 -6.517279744148254395e-01
-8.319820463657379150e-02 4.138625264167785645e-01 6.726023554801940918e-02 -3.417740464210510254e-01
-7.492095232009887695e-02 2.181487381458282471e-01 6.042475253343582153e-02 -3.567871078848838806e-02
-7.055797427892684937e-02 2.251988649368286133e-02 5.971117690205574036e-02 2.683618068695068359e-01
-7.010757923126220703e-02 2.171098738908767700e-01 6.507841497659683228e-02 -1.274842396378517151e-02
-6.576538085937500000e-02 4.116147160530090332e-01 6.482344865798950195e-02 -2.920936346054077148e-01
-5.753308907151222229e-02 6.061269044876098633e-01 5.898157507181167603e-02 -5.715278387069702148e-01
-4.541055113077163696e-02 4.105283915996551514e-01 4.755101725459098816e-02 -2.679415941238403320e-01
-3.719998151063919067e-02 2.150743007659912109e-01 4.219218343496322632e-02 3.216819092631340027e-02
-3.289849683642387390e-02 1.969208940863609314e-02 4.283554852008819580e-02 3.306282758712768555e-01
-3.250465542078018188e-02 2.145364731550216675e-01 4.944811388850212097e-02 4.404122009873390198e-02
-2.821392565965652466e-02 4.092799127101898193e-01 5.032894015312194824e-02 -2.404074817895889282e-01
-2.002832666039466858e-02 6.040115356445312500e-01 4.552078992128372192e-02 -5.245728492736816406e-01
-7.948096841573715210e-03 4.085893630981445312e-01 3.502933308482170105e-02 -2.250941246747970581e-01
2.236901782453060150e-04 2.133073061704635620e-01 3.052745014429092407e-02 7.114139199256896973e-02
4.489836283028125763e-03 1.808812282979488373e-02 3.195028007030487061e-02 3.659710884094238281e-01
4.851598758250474930e-03 2.130918353796005249e-01 3.926970064640045166e-02 7.590152323246002197e-02
9.113435633480548859e-03 4.079871475696563721e-01 4.078773036599159241e-02 -2.118281871080398560e-01
1.727317832410335541e-02 6.028606295585632324e-01 3.655116632580757141e-02 -4.990717172622680664e-01
2.933039143681526184e-02 4.075598716735839844e-01 2.656973153352737427e-02 -2.023661136627197266e-01
3.748158738017082214e-02 2.123969644308090210e-01 2.252241037786006927e-02 9.122122824192047119e-02
4.172952845692634583e-02 1.729188673198223114e-02 2.434683404862880707e-02 3.835329115390777588e-01
4.207536578178405762e-02 2.124046236276626587e-01 3.201749175786972046e-02 9.105453640222549438e-02
4.632345959544181824e-02 4.074063599109649658e-01 3.383858501911163330e-02 -1.989921182394027710e-01
5.447158589959144592e-02 6.023818254470825195e-01 2.985874190926551819e-02 -4.884590804576873779e-01
6.651922315359115601e-02 4.071734845638275146e-01 2.008955925703048706e-02 -1.938410103321075439e-01
7.466269284486770630e-02 2.121033519506454468e-01 1.621273905038833618e-02 9.770132601261138916e-02
7.890475541353225708e-02 1.708947494626045227e-02 1.816676557064056396e-02 3.880131840705871582e-01
7.924655079841613770e-02 2.122895121574401855e-01 2.592702955007553101e-02 9.359136223793029785e-02
8.349233865737915039e-02 4.073794484138488770e-01 2.779885753989219666e-02 -1.983875781297683716e-01
9.163992851972579956e-02 6.024425029754638672e-01 2.383110672235488892e-02 -4.897741675376892090e-01
1.036887764930725098e-01 4.073186814785003662e-01 1.403562258929014206e-02 -1.970493793487548828e-01
1.118351519107818604e-01 2.123362571001052856e-01 1.009463518857955933e-02 9.256979823112487793e-02
1.160818785429000854e-01 1.741190999746322632e-02 1.194603089243173599e-02 3.809299170970916748e-01
1.164301112294197083e-01 2.126987576484680176e-01 1.956462860107421875e-02 8.456478267908096313e-02
1.206840872764587402e-01 4.078797101974487305e-01 2.125592529773712158e-02 -2.094194591045379639e-01
1.288416832685470581e-01 6.030365228652954102e-01 1.706753484904766083e-02 -5.028718113899230957e-01
1.409024149179458618e-01 4.080086350440979004e-01 7.010098546743392944e-03 -2.122859060764312744e-01
1.490625888109207153e-01 2.131292074918746948e-01 2.764381468296051025e-03 7.508642226457595825e-02
1.533251702785491943e-01 1.831352710723876953e-02 4.266109317541122437e-03 3.610917925834655762e-01
1.536914408206939697e-01 -1.765269041061401367e-01 1.148794498294591904e-02 6.475845575332641602e-01
1.501609086990356445e-01 1.876302622258663177e-02 2.443963475525379181e-02 3.510817289352416992e-01
1.505361646413803101e-01 2.138744294643402100e-01 3.146126866340637207e-02 5.863265320658683777e-02
1.548136472702026367e-01 4.088842272758483887e-01 3.263392299413681030e-02 -2.315909415483474731e-01
1.629913300275802612e-01 6.038773655891418457e-01 2.800210379064083099e-02 -5.214419364929199219e-01
1.750688850879669189e-01 4.086950719356536865e-01 1.757326535880565643e-02 -2.274059355258941650e-01
1.832427829504013062e-01 2.136612087488174438e-01 1.302514690905809402e-02 6.333865225315093994e-02
1.875160038471221924e-01 1.869389042258262634e-02 1.429191976785659790e-02 3.526351153850555420e-01
1.878898888826370239e-01 2.139483243227005005e-01 2.134462259709835052e-02 5.700095742940902710e-02
1.921688467264175415e-01 4.091039597988128662e-01 2.248464152216911316e-02 -2.364236414432525635e-01
2.003509253263473511e-01 6.042432188987731934e-01 1.775616779923439026e-02 -5.294891595840454102e-01
2.124357968568801880e-01 4.092053771018981934e-01 7.166385650634765625e-03 -2.386845201253890991e-01
2.206199020147323608e-01 2.143234461545944214e-01 2.392694354057312012e-03 4.873824864625930786e-02
2.249063700437545776e-01 1.951337046921253204e-02 3.367459401488304138e-03 3.346236646175384521e-01
2.252966463565826416e-01 -1.753134131431579590e-01 1.005993224680423737e-02 6.208266019821166992e-01
2.217903733253479004e-01 1.999632082879543304e-02 2.247646450996398926e-02 3.238796591758728027e-01
2.221903055906295776e-01 2.151356488466262817e-01 2.895405702292919159e-02 3.081165626645088196e-02
2.264930158853530884e-01 4.101818501949310303e-01 2.957029081881046295e-02 -2.602083981037139893e-01
2.346966415643692017e-01 6.052194833755493164e-01 2.436612173914909363e-02 -5.510334968566894531e-01
2.468010336160659790e-01 4.100881516933441162e-01 1.334545295685529709e-02 -2.581402063369750977e-01
2.550027966499328613e-01 2.151155173778533936e-01 8.182648569345474243e-03 3.125936910510063171e-02
2.593051195144653320e-01 2.021946571767330170e-02 8.807836100459098816e-03 3.190068304538726807e-01
2.597095072269439697e-01 -1.746872812509536743e-01 1.518797222524881363e-02 6.069568991661071777e-01
2.562157511711120605e-01 2.055262215435504913e-02 2.732711099088191986e-02 3.116056323051452637e-01
2.566268146038055420e-01 2.156226933002471924e-01 3.355922549962997437e-02 2.006932906806468964e-02
2.609392702579498291e-01 4.106018543243408203e-01 3.396061062812805176e-02 -2.694861292839050293e-01
2.691513001918792725e-01 6.055758595466613770e-01 2.857088670134544373e-02 -5.589146614074707031e-01
2.812628149986267090e-01 4.103858470916748047e-01 1.739259436726570129e-02 -2.647006213665008545e-01
2.894705235958099365e-01 2.153544574975967407e-01 1.209858153015375137e-02 2.598676458001136780e-02
2.937776148319244385e-01 2.040076814591884613e-02 1.261831633746623993e-02 3.149873912334442139e-01
2.941856384277343750e-01 -1.745616197586059570e-01 1.891806349158287048e-02 6.041555404663085938e-01
2.906944155693054199e-01 2.062686346471309662e-02 3.100117482244968414e-02 3.099707961082458496e-01
2.911069393157958984e-01 2.156440019607543945e-01 3.720059245824813843e-02 1.959989778697490692e-02
2.954198122024536133e-01 4.105697572231292725e-01 3.759258985519409180e-02 -2.687925100326538086e-01
3.036312162876129150e-01 6.054906845092773438e-01 3.221673890948295593e-02 -5.570608973503112793e-01
3.157410323619842529e-01 4.102501869201660156e-01 2.107552066445350647e-02 -2.617064118385314941e-01
3.239460289478302002e-01 2.151657789945602417e-01 1.584139280021190643e-02 3.014810010790824890e-02
3.282493352890014648e-01 2.015737257897853851e-02 1.644435524940490723e-02 3.203417658805847168e-01
3.286525011062622070e-01 -1.748605221509933472e-01 2.285118959844112396e-02 6.107282638549804688e-01
3.251552879810333252e-01 2.027325518429279327e-02 3.506575524806976318e-02 3.177786469459533691e-01
3.255607485771179199e-01 2.152314782142639160e-01 4.142132773995399475e-02 2.870216220617294312e-02
3.298653662204742432e-01 4.100948274135589600e-01 4.199536889791488647e-02 -2.583366930484771729e-01
3.380672633647918701e-01 6.049508452415466309e-01 3.682863712310791016e-02 -5.451927781105041504e-01
3.501662909984588623e-01 7.998858690261840820e-01 2.592478133738040924e-02 -8.337098956108093262e-01
3.661639988422393799e-01 9.949773550033569336e-01 9.250584058463573456e-03 -1.125691771507263184e+00
3.860635459423065186e-01 1.190285563468933105e+00 -1.326325163245201111e-02 -1.422871112823486328e+00
4.098692834377288818e-01 9.956397414207458496e-01 -4.172067344188690186e-02 -1.141965866088867188e+00
4.297820627689361572e-01 8.014308810234069824e-01 -6.455998867750167847e-02 -8.704952001571655273e-01
4.458106756210327148e-01 6.076131463050842285e-01 -8.196989446878433228e-02 -6.068144440650939941e-01
4.579629600048065186e-01 4.141149520874023438e-01 -9.410618245601654053e-02 -3.491947948932647705e-01
4.662452340126037598e-01 2.208482772111892700e-01 -1.010900810360908508e-01 -9.585852175951004028e-02
4.706622064113616943e-01 2.771525643765926361e-02 -1.030072495341300964e-01 1.549956649541854858e-01
4.712165296077728271e-01 2.244021892547607422e-01 -9.990733861923217773e-02 -1.748214960098266602e-01
4.757045507431030273e-01 4.210564196109771729e-01 -1.034037694334983826e-01 -5.037999153137207031e-01
4.841256737709045410e-01 2.279333919286727905e-01 -1.134797707200050354e-01 -2.537195980548858643e-01
4.886843562126159668e-01 3.500958532094955444e-02 -1.185541525483131409e-01 -7.256413344293832779e-03
4.893845319747924805e-01 -1.578160822391510010e-01 -1.186992898583412170e-01 2.373792231082916260e-01
4.862282276153564453e-01 -3.506469726562500000e-01 -1.139517053961753845e-01 4.819744229316711426e-01
4.792152941226959229e-01 -1.538779437541961670e-01 -1.043122187256813049e-01 1.492712348699569702e-01
4.761377274990081787e-01 4.282253980636596680e-02 -1.013267859816551208e-01 -1.808977276086807251e-01
4.769941866397857666e-01 2.394911497831344604e-01 -1.049447432160377502e-01 -5.102596879005432129e-01
4.817839860916137695e-01 4.639379680156707764e-02 -1.151499375700950623e-01 -2.607238888740539551e-01
4.827118813991546631e-01 -1.465011835098266602e-01 -1.203644201159477234e-01 -1.485638413578271866e-02
4.797818660736083984e-01 -3.392947912216186523e-01 -1.206615492701530457e-01 2.291302084922790527e-01
4.729959666728973389e-01 -5.320904850959777832e-01 -1.160789355635643005e-01 4.730210602283477783e-01
4.623541533946990967e-01 -7.249902486801147461e-01 -1.066185161471366882e-01 7.185878753662109375e-01
4.478543400764465332e-01 -5.283289551734924316e-01 -9.224675595760345459e-02 3.878923952579498291e-01
4.372877776622772217e-01 -3.317684829235076904e-01 -8.448891341686248779e-02 6.101978197693824768e-02
4.306523799896240234e-01 -1.352750658988952637e-01 -8.326851576566696167e-02 -2.637421786785125732e-01
4.279468953609466553e-01 -3.287205398082733154e-01 -8.854336291551589966e-02 -6.620733998715877533e-03
4.213724732398986816e-01 -5.220687985420227051e-01 -8.867577463388442993e-02 2.486468702554702759e-01
4.109311103820800781e-01 -7.154214978218078613e-01 -8.370283991098403931e-02 5.038781762123107910e-01
3.966226875782012939e-01 -9.088789224624633789e-01 -7.362527400255203247e-02 7.608768939971923828e-01
3.784450888633728027e-01 -7.125604748725891113e-01 -5.840773880481719971e-02 4.392248392105102539e-01
3.641938865184783936e-01 -5.163782835006713867e-01 -4.962323606014251709e-02 1.218308359384536743e-01
3.538663089275360107e-01 -3.202866315841674805e-01 -4.718662053346633911e-02 -1.930536031723022461e-01
3.474605977535247803e-01 -5.143267512321472168e-01 -5.104769021272659302e-02 7.645291090011596680e-02
3.371740579605102539e-01 -7.083020210266113281e-01 -4.951863735914230347e-02 3.446484804153442383e-01
3.230080008506774902e-01 -9.023101925849914551e-01 -4.262566566467285156e-02 6.133745312690734863e-01
3.049618005752563477e-01 -1.096445679664611816e+00 -3.035817667841911316e-02 8.844525218009948730e-01
2.830328941345214844e-01 -9.006330370903015137e-01 -1.266912370920181274e-02 5.752777457237243652e-01
2.650202512741088867e-01 -7.050206065177917480e-01 -1.163568347692489624e-03 2.713635265827178955e-01
2.509198188781738281e-01 -5.095528960227966309e-01 4.263700917363166809e-03 -2.905611507594585419e-02
2.407287657260894775e-01 -3.141577243804931641e-01 3.682579845190048218e-03 -3.278069794178009033e-01
2.344456166028976440e-01 -5.089890956878662109e-01 -2.873560413718223572e-03 -4.150269925594329834e-02
2.242658287286758423e-01 -7.037200927734375000e-01 -3.703614696860313416e-03 2.426795363426208496e-01
2.101914286613464355e-01 -8.984401822090148926e-01 1.149976626038551331e-03 5.265947580337524414e-01
1.922226250171661377e-01 -1.093237638473510742e+00 1.168187242001295090e-02 8.120881319046020508e-01
1.703578680753707886e-01 -8.979532122611999512e-01 2.792363613843917847e-02 5.156498551368713379e-01
1.523988097906112671e-01 -7.028909921646118164e-01 3.823663294315338135e-02 2.243013978004455566e-01
1.383409798145294189e-01 -5.079798698425292969e-01 4.272266104817390442e-02 -6.376035511493682861e-02
1.281813830137252808e-01 -3.131357431411743164e-01 4.144745320081710815e-02 -3.503808081150054932e-01
1.219186782836914062e-01 -5.085055828094482422e-01 3.443983942270278931e-02 -5.215425789356231689e-02
1.117485612630844116e-01 -7.037798762321472168e-01 3.339675068855285645e-02 2.438982576131820679e-01
9.767296910285949707e-02 -8.990389704704284668e-01 3.827471658587455750e-02 5.396244525909423828e-01
7.969218492507934570e-02 -7.041249275207519531e-01 4.906720668077468872e-02 2.515697777271270752e-01
6.560968607664108276e-02 -5.093742609024047852e-01 5.409860238432884216e-02 -3.300460055470466614e-02
5.542220175266265869e-02 -3.147011697292327881e-01 5.343851074576377869e-02 -3.159430325031280518e-01
4.912817850708961487e-02 -5.102338194847106934e-01 4.711964726448059082e-02 -1.403139811009168625e-02
3.892350196838378906e-02 -7.056837081909179688e-01 4.683902114629745483e-02 2.859482467174530029e-01
2.480982616543769836e-02 -9.011279344558715820e-01 5.255798622965812683e-02 5.858387947082519531e-01
6.787267979234457016e-03 -7.064218521118164062e-01 6.427475810050964355e-02 3.023848533630371094e-01
-7.341168355196714401e-03 -5.119009613990783691e-01 7.032246142625808716e-02 2.276993915438652039e-02
-1.757918857038021088e-02 -3.174775838851928711e-01 7.077786326408386230e-02 -2.548456788063049316e-01
-2.392873913049697876e-02 -1.230583488941192627e-01 6.568095088005065918e-02 -5.323151350021362305e-01
-2.638990618288516998e-02 -3.187448680400848389e-01 5.503464117646217346e-02 -2.267047315835952759e-01
-3.276480361819267273e-02 -5.143002867698669434e-01 5.050054937601089478e-02 7.569579780101776123e-02
-4.305081069469451904e-02 -7.097960114479064941e-01 5.201446264982223511e-02 3.767129778861999512e-01
-5.724672973155975342e-02 -5.150874853134155273e-01 5.954872444272041321e-02 9.309103339910507202e-02
-6.754848361015319824e-02 -3.204972147941589355e-01 6.141054630279541016e-02 -1.880690306425094604e-01
-7.395842671394348145e-02 -1.259345263242721558e-01 5.764916539192199707e-02 -4.686207771301269531e-01
-7.647711783647537231e-02 -3.215192556381225586e-01 4.827674850821495056e-02 -1.654331386089324951e-01
-8.290749788284301758e-02 -5.169842839241027832e-01 4.496808350086212158e-02 1.349011510610580444e-01
-9.324718266725540161e-02 -7.124043107032775879e-01 4.766611009836196899e-02 4.342177510261535645e-01
-1.074952706694602966e-01 -5.176297426223754883e-01 5.635046213865280151e-02 1.491856724023818970e-01
-1.178478673100471497e-01 -3.229902088642120361e-01 5.933417752385139465e-02 -1.330199837684631348e-01
-1.243076696991920471e-01 -1.283963471651077271e-01 5.667377635836601257e-02 -4.142507314682006836e-01
-1.268755942583084106e-01 6.624306738376617432e-02 4.838876426219940186e-02 -6.963580846786499023e-01
-1.255507320165634155e-01 -1.292124390602111816e-01 3.446160256862640381e-02 -3.960059583187103271e-01
-1.281349807977676392e-01 -3.244854509830474854e-01 2.654148265719413757e-02 -9.994906932115554810e-02
-1.346246898174285889e-01 -5.196480154991149902e-01 2.454250119626522064e-02 1.936295032501220703e-01
-1.450176537036895752e-01 -7.147820591926574707e-01 2.841509133577346802e-02 4.865786135196685791e-01
